Category,Film,Nominee,Winner,Year,Rating_IMDB,Release_date,Rating_rtaudience,Rating_rtcritic,Oscarstat_totalnoms,Release_Q1,Release_Q2,Release_Q3,Release_Q4,Nom_BAFTA,Win_BAFTA,Nom_GoldenGlobe_comedy-leadacting,Win_GoldenGlobe_comedy-leadacting,Nom_GoldenGlobe_drama-leadacting,Win_GoldenGlobe_drama-leadacting,Nom_GoldenGlobe_supportingacting,Win_GoldenGlobe_supportingacting,Oscarstat_previousnominations_acting,Oscarstat_previouswins_acting,Oscarstat_previousnominee_acting,Oscarstat_previouswinner_acting,Nom_Oscar_bestfilm,Birthyear,Age,Age_[0-25],Age_[25-35],Age_[35-45],Age_[45-55],Age_[55-65],Age_[65-75] ,Age_[75+] ,Genre_action,Genre_adventure,Genre_biography,Genre_crime,Genre_comedy,Genre_drama,Genre_horror,Genre_fantasy,Genre_sci-fi,Genre_mystery,Genre_music,Genre_romance,Genre_history,Genre_thriller,Genre_war,Genre_sport,Genre_family,Genre_filmnoir,Genre_western,MPAA_rating,MPAA_G,MPAA_PG,MPAA_PG-13,MPAA_R,MPAA_NC-17,Nowin_Criticschoice,Win_Criticschoice,Nonom_Criticschoice,Nom_Criticschoice,Nowin_SAG_acting,Win_SAG_acting,Nonom_SAG_acting,Nom_SAG_acting,Nowin_SAG_bestcast,Win_SAG_bestcast,Nonom_SAG_bestcast,Nom_SAG_bestcast,Female
Actor,To Kill a Mockingbird,Gregory Peck,1,1963,8.3,1963-03-16,93,91,8,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1916,47,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NOT RATED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actor,Birdman of Alcatraz,Burt Lancaster,0,1963,7.8,1962-09-15,85,82,4,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1913,50,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actor,Days of Wine and Roses,Jack Lemmon,0,1963,7.9,1963-02-04,88,100,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1925,38,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,APPROVED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actor,Divorce Italian Style,Marcello Mastroianni,0,1963,8.3,1962-09-17,93,100,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1924,39,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,NOT RATED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actor,Lawrence of Arabia,Peter O'Toole,0,1963,8.3,1962-12-11,93,97,10,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1932,31,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actress,Days of Wine and Roses,Lee Remick,0,1963,7.9,1963-02-04,88,100,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1935,28,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,APPROVED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Actress,The Miracle Worker,Anne Bancroft,1,1963,8.1,1962-07-28,88,100,5,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1931,32,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,APPROVED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Actress,What Ever Happened to Baby Jane?,Bette Davis,0,1963,8.1,1962-10,92,91,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1908,55,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,NOT RATED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Actress,Long Day's Journey into Night,Katharine Hepburn,0,1963,7.8,1963-11-27,86,93,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1907,56,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Supporting Actor,Birdman of Alcatraz,Telly Savalas,0,1963,7.8,1962-09-15,85,82,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1922,41,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supporting Actor,Lawrence of Arabia,Omar Sharif,0,1963,8.3,1962-12-11,93,97,10,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1932,31,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supporting Actor,What Ever Happened to Baby Jane?,Victor Buono,0,1963,8.1,1962-10,92,91,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1938,25,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,NOT RATED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supporting Actor,Billy Budd,Terence Stamp,0,1963,7.9,1962-11-12,86,100,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1938,25,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,APPROVED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supporting Actor,Sweet Bird of Youth,Ed Begley,1,1963,6.5,2017-03-21 00:00:00,72,75,3,1,0,0,0,0,0,,,,,1,0,0,0,0,0,0,1901,62,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supporting Actress,To Kill a Mockingbird,Mary Badham,0,1963,8.3,1963-03-16,93,91,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1952,11,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NOT RATED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Supporting Actress,Birdman of Alcatraz,Thelma Ritter,0,1963,7.8,1962-09-15,85,82,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1902,61,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
