Category,Film,Nominee,Winner,Year,Rating_IMDB,Release_date,Rating_rtaudience,Rating_rtcritic,Oscarstat_totalnoms,Win_GoldenGlobe_bestdirector,Win_BAFTA,Win_DGA,Nom_GoldenGlobe_bestdirector,Nom_BAFTA,Nom_DGA,Oscarstat_previouswins_bestdirector,Oscarstat_previousnominations_bestdirector,Nom_Oscar_bestfilm,Release_Q1,Release_Q2,Release_Q3,Release_Q4,Genre_biography,Genre_crime,Genre_comedy,Genre_drama,Genre_horror,Genre_fantasy,Genre_sci-fi,Genre_mystery,Genre_music,Genre_romance,Genre_history,Genre_war,Genre_filmnoir,Genre_western,Genre_thriller,Genre_sport,Genre_family,Genre_action,Genre_adventure,MPAA_rating,MPAA_G,MPAA_PG,MPAA_PG-13,MPAA_R,MPAA_NC-17,Nowin_Criticschoice,Win_Criticschoice,Nonom_Criticschoice,Nom_Criticschoice
Director,Cabaret,Bob Fosse,1,1973,7.9,1972-02-13,87,97,10,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,0,1,0,0,0,0,0,0,0
Director,Deliverance,John Boorman,0,1973,7.7,1972-09-20,82,93,3,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,R,0,0,0,1,0,0,0,0,0
Director,The Godfather,Francis Ford Coppola,0,1973,9.2,1972-03-24,98,99,11,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0
Director,Sleuth,Joseph L. Mankiewicz,0,1973,8.1,1973-07-12,90,96,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,PG,0,1,0,0,0,0,0,0,0
Director,The Emigrants,Jan Troell,0,1973,8,1971-03-08,88,89,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,PG,0,1,0,0,0,0,0,0,0
Director,The Sting,George Roy Hill,1,1974,8.3,1973-12-25,95,93,10,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,0,1,0,0,0,0,0,0,0
Director,Cries and Whispers,Ingmar Bergman,0,1974,8.2,1973-03-05,91,89,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0
Director,Last Tango in Paris,Bernardo Bertolucci,0,1974,7.1,1973-02-07,76,79,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NC-17,0,0,0,0,1,0,0,0,0
Director,The Exorcist,William Friedkin,0,1974,8,1973-12-26,87,86,10,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0
Director,American Graffiti,George Lucas,0,1974,7.5,1973-09-01,84,95,5,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,0,1,0,0,0,0,0,0,0
Director,The Godfather Part II,Francis Ford Coppola,1,1975,9,1974-12-20,97,97,11,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0
Director,A Woman Under the Influence,John Cassavetes,0,1975,8.2,1974-11-18,92,95,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0
Director,Lenny,Bob Fosse,0,1975,7.6,1974-12,88,100,6,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0
Director,Chinatown,Roman Polanski,0,1975,8.2,1974-06-20,93,98,11,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,R,0,0,0,1,0,0,0,0,0
Director,Day for Night,Franois Truffaut,0,1975,8.1,1973-09-07,91,100,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PG,0,1,0,0,0,0,0,0,0
Director,One Flew Over the Cuckoo's Nest,Milo Forman,1,1976,8.7,1975-11-19,96,95,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0
Director,Nashville,Robert Altman,0,1976,7.8,1975-09-21,84,94,4,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0
Director,Amarcord,Federico Fellini,0,1976,8,1974-09-19,91,91,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0
Director,Barry Lyndon,Stanley Kubrick,0,1976,8.1,1975-12-18,92,97,7,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,PG,0,1,0,0,0,0,0,0,0
Director,Dog Day Afternoon,Sidney Lumet,0,1976,8,1975-12-25,90,95,6,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0
Director,Rocky,John G. Avildsen,1,1977,8.1,1976-12-03,69,93,9,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,PG,0,1,0,0,0,0,0,0,0
Director,Face to Face,Ingmar Bergman,0,1977,7.7,1976-04-05,82,80,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0
Director,Network,Sidney Lumet,0,1977,8.1,1976-11-27,93,91,10,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0
Director,All the President's Men,Alan J. Pakula,0,1977,8,1976-04-09,92,93,8,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,PG,0,1,0,0,0,0,0,0,0
Director,Seven Beauties,Lina Wertmller,0,1977,8,1976-01-21,90,91,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0
Director,Annie Hall,Woody Allen,1,1978,8.1,1977-04-20,93,99,5,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PG,0,1,0,0,0,0,0,0,0
Director,Star Wars,George Lucas,0,1978,8.7,1977-05-25,96,93,11,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,0,1,0,0,0,0,0,0,0
